path,participant_id,sequence_id,sign
train_landmark_files/27610/1080072025.parquet,27610,1080072025,up
train_landmark_files/28656/1080381987.parquet,28656,1080381987,will
train_landmark_files/16069/1081262092.parquet,16069,1081262092,on
train_landmark_files/25571/1081438812.parquet,25571,1081438812,on
train_landmark_files/28656/1081956093.parquet,28656,1081956093,go
train_landmark_files/2044/1082858289.parquet,2044,1082858289,up
train_landmark_files/22343/1083279559.parquet,22343,1083279559,say
train_landmark_files/62590/1083816707.parquet,62590,1083816707,go
train_landmark_files/36257/1084184982.parquet,36257,1084184982,not
train_landmark_files/36257/1086043158.parquet,36257,1086043158,who
train_landmark_files/61333/1087352422.parquet,61333,1087352422,if
train_landmark_files/2044/1088100780.parquet,2044,1088100780,go
train_landmark_files/18796/1088772361.parquet,18796,1088772361,who
train_landmark_files/18796/108924036.parquet,18796,108924036,go
train_landmark_files/22343/1089628683.parquet,22343,1089628683,on
train_landmark_files/16069/1090103400.parquet,16069,1090103400,there
train_landmark_files/55372/1090137173.parquet,55372,1090137173,will
train_landmark_files/16069/1092769639.parquet,16069,1092769639,that
train_landmark_files/49445/1093513728.parquet,49445,1093513728,if
train_landmark_files/37779/1094254149.parquet,37779,1094254149,up
train_landmark_files/16069/1094482950.parquet,16069,1094482950,will
train_landmark_files/25571/1094916381.parquet,25571,1094916381,for
train_landmark_files/30680/1095623019.parquet,30680,1095623019,who
train_landmark_files/36257/1096882690.parquet,36257,1096882690,all
train_landmark_files/61333/1098470278.parquet,61333,1098470278,not
train_landmark_files/30680/1099771366.parquet,30680,1099771366,go
train_landmark_files/34503/1101070078.parquet,34503,1101070078,all
train_landmark_files/27610/1101396460.parquet,27610,1101396460,say
train_landmark_files/55372/1101551667.parquet,55372,1101551667,all
train_landmark_files/36257/1101926850.parquet,36257,1101926850,that
train_landmark_files/4718/1102082810.parquet,4718,1102082810,say
train_landmark_files/27610/1102676329.parquet,27610,1102676329,for
train_landmark_files/62590/110382734.parquet,62590,110382734,if
train_landmark_files/4718/1104005516.parquet,4718,1104005516,all
train_landmark_files/26734/1104507932.parquet,26734,1104507932,go
train_landmark_files/53618/1105260620.parquet,53618,1105260620,go
train_landmark_files/26734/1106245624.parquet,26734,1106245624,on
train_landmark_files/55372/110716083.parquet,55372,110716083,say
train_landmark_files/34503/1107252976.parquet,34503,1107252976,all
train_landmark_files/37779/1107807244.parquet,37779,1107807244,will
train_landmark_files/25571/1108565868.parquet,25571,1108565868,go
train_landmark_files/22343/1108748652.parquet,22343,1108748652,go
train_landmark_files/26734/1110571884.parquet,26734,1110571884,who
train_landmark_files/49445/1112033790.parquet,49445,1112033790,go
train_landmark_files/25571/1112546351.parquet,25571,1112546351,that
train_landmark_files/29302/1112969403.parquet,29302,1112969403,have
train_landmark_files/18796/1113129081.parquet,18796,1113129081,if
train_landmark_files/26734/1114227225.parquet,26734,1114227225,have
train_landmark_files/2044/1114655534.parquet,2044,1114655534,not
train_landmark_files/30680/1114807936.parquet,30680,1114807936,up
train_landmark_files/34503/1115724995.parquet,34503,1115724995,that
train_landmark_files/37055/1116021133.parquet,37055,1116021133,who
train_landmark_files/37055/1116608086.parquet,37055,1116608086,all
train_landmark_files/37779/1116711754.parquet,37779,1116711754,not
train_landmark_files/49445/1117184924.parquet,49445,1117184924,who
train_landmark_files/49445/1118716790.parquet,49445,1118716790,go
train_landmark_files/37055/1119384324.parquet,37055,1119384324,all
train_landmark_files/22343/1119439442.parquet,22343,1119439442,up
train_landmark_files/30680/1120211513.parquet,30680,1120211513,if
train_landmark_files/18796/1122964413.parquet,18796,1122964413,all
train_landmark_files/18796/1123386430.parquet,18796,1123386430,go
train_landmark_files/49445/1123784841.parquet,49445,1123784841,if
train_landmark_files/18796/1124776703.parquet,18796,1124776703,go
train_landmark_files/16069/1125423365.parquet,16069,1125423365,if
train_landmark_files/4718/1125688363.parquet,4718,1125688363,say
train_landmark_files/32319/1126594659.parquet,32319,1126594659,all
train_landmark_files/61333/1127257311.parquet,61333,1127257311,there
train_landmark_files/28656/1128011385.parquet,28656,1128011385,that
train_landmark_files/49445/1128135725.parquet,49445,1128135725,all
train_landmark_files/61333/1128220575.parquet,61333,1128220575,not
train_landmark_files/27610/1128301728.parquet,27610,1128301728,that
train_landmark_files/22343/1128552222.parquet,22343,1128552222,not
train_landmark_files/49445/1129568833.parquet,49445,1129568833,will
train_landmark_files/2044/1130991358.parquet,2044,1130991358,on
train_landmark_files/18796/1131449629.parquet,18796,1131449629,there
train_landmark_files/28656/1131577546.parquet,28656,1131577546,all
train_landmark_files/16069/1134661294.parquet,16069,1134661294,there
train_landmark_files/28656/1135017227.parquet,28656,1135017227,for
train_landmark_files/28656/1136082243.parquet,28656,1136082243,all
train_landmark_files/49445/1136636258.parquet,49445,1136636258,will
train_landmark_files/26734/1137240471.parquet,26734,1137240471,if
train_landmark_files/34503/113774978.parquet,34503,113774978,there
train_landmark_files/26734/1139417316.parquet,26734,1139417316,go
train_landmark_files/32319/1139478517.parquet,32319,1139478517,there
train_landmark_files/2044/1139669500.parquet,2044,1139669500,up
train_landmark_files/32319/1139926431.parquet,32319,1139926431,say
train_landmark_files/61333/1140327751.parquet,61333,1140327751,not
train_landmark_files/62590/1141285935.parquet,62590,1141285935,who
train_landmark_files/61333/1141769852.parquet,61333,1141769852,if
train_landmark_files/55372/1142097168.parquet,55372,1142097168,have
train_landmark_files/34503/1142627466.parquet,34503,1142627466,if
train_landmark_files/18796/1142761139.parquet,18796,1142761139,say
train_landmark_files/53618/1143127581.parquet,53618,1143127581,there
train_landmark_files/26734/1143169497.parquet,26734,1143169497,not
train_landmark_files/32319/1143538537.parquet,32319,1143538537,will
train_landmark_files/37055/1144104045.parquet,37055,1144104045,up
train_landmark_files/28656/1146493179.parquet,28656,1146493179,on
train_landmark_files/61333/1147166081.parquet,61333,1147166081,have
train_landmark_files/29302/114728241.parquet,29302,114728241,if
train_landmark_files/36257/1150639685.parquet,36257,1150639685,if
train_landmark_files/4718/1150867767.parquet,4718,1150867767,up
train_landmark_files/37055/1151477998.parquet,37055,1151477998,on
train_landmark_files/32319/1151576250.parquet,32319,1151576250,not
train_landmark_files/37779/1152644224.parquet,37779,1152644224,who
train_landmark_files/37779/1152803878.parquet,37779,1152803878,have
train_landmark_files/16069/11529951.parquet,16069,11529951,up
train_landmark_files/49445/1155724484.parquet,49445,1155724484,on
train_landmark_files/49445/1156891672.parquet,49445,1156891672,all
train_landmark_files/16069/115701764.parquet,16069,115701764,all
train_landmark_files/32319/1157568592.parquet,32319,1157568592,not
train_landmark_files/25571/1158209036.parquet,25571,1158209036,there
train_landmark_files/2044/1158372807.parquet,2044,1158372807,go
train_landmark_files/53618/1159327479.parquet,53618,1159327479,all
train_landmark_files/37779/116540674.parquet,37779,116540674,that
train_landmark_files/2044/1165546380.parquet,2044,1165546380,not
train_landmark_files/36257/1166541084.parquet,36257,1166541084,say
train_landmark_files/27610/1167872262.parquet,27610,1167872262,up
train_landmark_files/29302/1168434700.parquet,29302,1168434700,if
train_landmark_files/22343/1168782139.parquet,22343,1168782139,for
train_landmark_files/16069/1170394535.parquet,16069,1170394535,on
train_landmark_files/32319/117139541.parquet,32319,117139541,if
train_landmark_files/49445/1172289280.parquet,49445,1172289280,not
train_landmark_files/26734/1172570231.parquet,26734,1172570231,all
train_landmark_files/29302/117320062.parquet,29302,117320062,all
train_landmark_files/28656/117350604.parquet,28656,117350604,if
train_landmark_files/49445/117479798.parquet,49445,117479798,for
train_landmark_files/62590/1174858293.parquet,62590,1174858293,there
train_landmark_files/62590/117515132.parquet,62590,117515132,have
train_landmark_files/22343/1175757997.parquet,22343,1175757997,if
train_landmark_files/55372/1177666292.parquet,55372,1177666292,say
train_landmark_files/26734/1177815080.parquet,26734,1177815080,have
train_landmark_files/28656/1178469583.parquet,28656,1178469583,not
train_landmark_files/29302/1180088241.parquet,29302,1180088241,will
train_landmark_files/25571/1183363492.parquet,25571,1183363492,who
train_landmark_files/34503/118437896.parquet,34503,118437896,if
train_landmark_files/34503/1185948500.parquet,34503,1185948500,for
train_landmark_files/29302/1187245575.parquet,29302,1187245575,go
train_landmark_files/62590/1188288174.parquet,62590,1188288174,have
train_landmark_files/37779/1188890426.parquet,37779,1188890426,will
train_landmark_files/55372/1190976741.parquet,55372,1190976741,if
train_landmark_files/36257/1191147060.parquet,36257,1191147060,say
train_landmark_files/32319/1191282594.parquet,32319,1191282594,up
train_landmark_files/49445/1191744519.parquet,49445,1191744519,that
train_landmark_files/28656/119249530.parquet,28656,119249530,for
train_landmark_files/30680/1193245359.parquet,30680,1193245359,all
train_landmark_files/53618/1193464756.parquet,53618,1193464756,if
train_landmark_files/37779/1194167621.parquet,37779,1194167621,for
train_landmark_files/37779/1194178183.parquet,37779,1194178183,say
train_landmark_files/22343/1194764306.parquet,22343,1194764306,say
train_landmark_files/36257/1195347399.parquet,36257,1195347399,if
train_landmark_files/53618/1195839420.parquet,53618,1195839420,have
train_landmark_files/49445/1195997199.parquet,49445,1195997199,say
train_landmark_files/25571/1196649008.parquet,25571,1196649008,who
train_landmark_files/16069/1197126423.parquet,16069,1197126423,that
train_landmark_files/55372/1198667666.parquet,55372,1198667666,for
train_landmark_files/61333/1199108260.parquet,61333,1199108260,for
train_landmark_files/16069/1199255802.parquet,16069,1199255802,will
train_landmark_files/22343/1199629151.parquet,22343,1199629151,not
train_landmark_files/53618/1200560100.parquet,53618,1200560100,all
train_landmark_files/28656/1200668179.parquet,28656,1200668179,all
train_landmark_files/29302/120082587.parquet,29302,120082587,on
train_landmark_files/27610/1200916794.parquet,27610,1200916794,that
train_landmark_files/37779/1201325847.parquet,37779,1201325847,up
train_landmark_files/61333/120147882.parquet,61333,120147882,not
train_landmark_files/25571/120271400.parquet,25571,120271400,not
train_landmark_files/32319/1203646712.parquet,32319,1203646712,that
train_landmark_files/37055/1206353531.parquet,37055,1206353531,on
train_landmark_files/37055/1206379892.parquet,37055,1206379892,for
train_landmark_files/37779/120684343.parquet,37779,120684343,up
train_landmark_files/27610/1210189566.parquet,27610,1210189566,up
train_landmark_files/53618/1214135766.parquet,53618,1214135766,will
train_landmark_files/22343/1214352128.parquet,22343,1214352128,who
train_landmark_files/28656/1214857151.parquet,28656,1214857151,will
train_landmark_files/25571/1215087790.parquet,25571,1215087790,on
train_landmark_files/30680/1215885938.parquet,30680,1215885938,go
train_landmark_files/36257/1218165099.parquet,36257,1218165099,say
train_landmark_files/25571/1221912919.parquet,25571,1221912919,who
train_landmark_files/26734/1222289938.parquet,26734,1222289938,all
train_landmark_files/30680/1222609781.parquet,30680,1222609781,on
train_landmark_files/53618/122279200.parquet,53618,122279200,go
train_landmark_files/61333/1223275900.parquet,61333,1223275900,there
train_landmark_files/27610/1223534311.parquet,27610,1223534311,all
train_landmark_files/29302/1223558207.parquet,29302,1223558207,there
train_landmark_files/55372/1224635935.parquet,55372,1224635935,all
train_landmark_files/22343/1225361059.parquet,22343,1225361059,say
train_landmark_files/55372/1226503693.parquet,55372,1226503693,not
train_landmark_files/22343/1227487461.parquet,22343,1227487461,that
train_landmark_files/30680/1227582614.parquet,30680,1227582614,say
train_landmark_files/34503/1228339982.parquet,34503,1228339982,there
train_landmark_files/18796/1229603579.parquet,18796,1229603579,that
train_landmark_files/4718/1230028374.parquet,4718,1230028374,not
train_landmark_files/61333/1230055315.parquet,61333,1230055315,say
train_landmark_files/30680/1232837348.parquet,30680,1232837348,all
train_landmark_files/16069/1232869735.parquet,16069,1232869735,say
train_landmark_files/55372/1233671963.parquet,55372,1233671963,there
train_landmark_files/30680/1234099445.parquet,30680,1234099445,up
train_landmark_files/27610/1234130503.parquet,27610,1234130503,go
train_landmark_files/26734/1235286367.parquet,26734,1235286367,go
train_landmark_files/16069/123574459.parquet,16069,123574459,say
train_landmark_files/61333/1237237834.parquet,61333,1237237834,up
train_landmark_files/37779/1237885937.parquet,37779,1237885937,will
train_landmark_files/29302/1238194975.parquet,29302,1238194975,all
train_landmark_files/16069/1238602890.parquet,16069,1238602890,that
train_landmark_files/27610/1239621379.parquet,27610,1239621379,up
train_landmark_files/37779/1240138474.parquet,37779,1240138474,who
train_landmark_files/37055/1240199363.parquet,37055,1240199363,there
train_landmark_files/37779/1240448329.parquet,37779,1240448329,go
train_landmark_files/36257/1240768292.parquet,36257,1240768292,that
train_landmark_files/62590/1240904816.parquet,62590,1240904816,go
train_landmark_files/18796/1241220207.parquet,18796,1241220207,all
train_landmark_files/34503/1241232275.parquet,34503,1241232275,there
train_landmark_files/16069/1242409447.parquet,16069,1242409447,if
train_landmark_files/55372/1244279174.parquet,55372,1244279174,who
train_landmark_files/37779/1244481819.parquet,37779,1244481819,all
train_landmark_files/37055/1246604914.parquet,37055,1246604914,not
train_landmark_files/26734/1247514751.parquet,26734,1247514751,all
train_landmark_files/16069/1248284401.parquet,16069,1248284401,for
train_landmark_files/26734/1248438764.parquet,26734,1248438764,that
train_landmark_files/16069/1250477519.parquet,16069,1250477519,that
train_landmark_files/49445/1250607730.parquet,49445,1250607730,that
train_landmark_files/53618/1250612720.parquet,53618,1250612720,say
train_landmark_files/32319/125068635.parquet,32319,125068635,will
train_landmark_files/4718/1251398195.parquet,4718,1251398195,not
train_landmark_files/29302/1254746233.parquet,29302,1254746233,for
train_landmark_files/26734/125483637.parquet,26734,125483637,for
train_landmark_files/18796/1256464975.parquet,18796,1256464975,on
train_landmark_files/55372/1256771096.parquet,55372,1256771096,there
train_landmark_files/37055/1256771710.parquet,37055,1256771710,on
train_landmark_files/34503/1256812374.parquet,34503,1256812374,for
train_landmark_files/4718/1256960793.parquet,4718,1256960793,will
train_landmark_files/22343/1259537155.parquet,22343,1259537155,for
train_landmark_files/37055/1259680945.parquet,37055,1259680945,that
train_landmark_files/49445/1259971022.parquet,49445,1259971022,that
train_landmark_files/37055/1260744079.parquet,37055,1260744079,for
train_landmark_files/25571/1260748268.parquet,25571,1260748268,have
train_landmark_files/62590/1260955389.parquet,62590,1260955389,up
train_landmark_files/49445/126193177.parquet,49445,126193177,on
train_landmark_files/61333/1262725904.parquet,61333,1262725904,go
train_landmark_files/34503/1263318835.parquet,34503,1263318835,have
train_landmark_files/61333/1266299275.parquet,61333,1266299275,not
train_landmark_files/34503/1267192421.parquet,34503,1267192421,will
train_landmark_files/37779/1267580080.parquet,37779,1267580080,that
train_landmark_files/2044/1268004855.parquet,2044,1268004855,will
train_landmark_files/61333/1268013369.parquet,61333,1268013369,say
train_landmark_files/61333/1268757555.parquet,61333,1268757555,say
train_landmark_files/28656/1269045704.parquet,28656,1269045704,who
train_landmark_files/53618/1269952739.parquet,53618,1269952739,all
train_landmark_files/25571/1271714715.parquet,25571,1271714715,say
train_landmark_files/36257/127277903.parquet,36257,127277903,have
train_landmark_files/49445/1274193810.parquet,49445,1274193810,there
train_landmark_files/61333/1276622641.parquet,61333,1276622641,there
train_landmark_files/25571/1276789873.parquet,25571,1276789873,go
train_landmark_files/34503/1276996800.parquet,34503,1276996800,say
train_landmark_files/28656/1280124256.parquet,28656,1280124256,have
train_landmark_files/49445/1280823191.parquet,49445,1280823191,that
train_landmark_files/26734/128129808.parquet,26734,128129808,all
train_landmark_files/55372/1282035487.parquet,55372,1282035487,for
train_landmark_files/53618/1282169476.parquet,53618,1282169476,who
train_landmark_files/36257/1282953230.parquet,36257,1282953230,who
train_landmark_files/30680/1285391628.parquet,30680,1285391628,not
train_landmark_files/37779/1285990586.parquet,37779,1285990586,on
train_landmark_files/61333/1286702600.parquet,61333,1286702600,on
train_landmark_files/29302/1287067578.parquet,29302,1287067578,there
train_landmark_files/49445/1287446131.parquet,49445,1287446131,all
train_landmark_files/53618/1288035304.parquet,53618,1288035304,will
train_landmark_files/61333/1288177181.parquet,61333,1288177181,if
train_landmark_files/22343/1289386418.parquet,22343,1289386418,say
train_landmark_files/4718/1289599799.parquet,4718,1289599799,have
train_landmark_files/30680/1290256982.parquet,30680,1290256982,have
train_landmark_files/27610/1291830629.parquet,27610,1291830629,that
train_landmark_files/32319/1291973818.parquet,32319,1291973818,for
train_landmark_files/62590/1294419299.parquet,62590,1294419299,for
train_landmark_files/37055/129509509.parquet,37055,129509509,for
train_landmark_files/37779/1295201395.parquet,37779,1295201395,if
train_landmark_files/30680/1295641364.parquet,30680,1295641364,on
train_landmark_files/32319/1296606722.parquet,32319,1296606722,will
train_landmark_files/26734/129716681.parquet,26734,129716681,for
train_landmark_files/61333/1298321205.parquet,61333,1298321205,if
train_landmark_files/34503/129842545.parquet,34503,129842545,who
train_landmark_files/30680/1299053551.parquet,30680,1299053551,not
train_landmark_files/30680/1299614829.parquet,30680,1299614829,up
train_landmark_files/37055/130015419.parquet,37055,130015419,on
train_landmark_files/18796/1300441170.parquet,18796,1300441170,for
train_landmark_files/37779/1302515521.parquet,37779,1302515521,if
train_landmark_files/18796/1302838340.parquet,18796,1302838340,that
train_landmark_files/4718/1303736934.parquet,4718,1303736934,for
train_landmark_files/34503/1304064794.parquet,34503,1304064794,not
train_landmark_files/22343/1304916398.parquet,22343,1304916398,have
train_landmark_files/37055/1304938739.parquet,37055,1304938739,there
train_landmark_files/37779/1305121719.parquet,37779,1305121719,all
train_landmark_files/32319/1306430672.parquet,32319,1306430672,say
train_landmark_files/2044/1307145938.parquet,2044,1307145938,there
train_landmark_files/28656/1307242597.parquet,28656,1307242597,all
train_landmark_files/62590/1308097063.parquet,62590,1308097063,up
train_landmark_files/37055/1309128323.parquet,37055,1309128323,there
train_landmark_files/55372/1311429608.parquet,55372,1311429608,on
train_landmark_files/62590/1314307747.parquet,62590,1314307747,all
train_landmark_files/16069/1314908807.parquet,16069,1314908807,that
train_landmark_files/22343/1315894450.parquet,22343,1315894450,say
train_landmark_files/22343/1316048084.parquet,22343,1316048084,there
train_landmark_files/53618/1316196448.parquet,53618,1316196448,for
train_landmark_files/16069/131621695.parquet,16069,131621695,not
train_landmark_files/34503/1316567238.parquet,34503,1316567238,if
train_landmark_files/55372/1318254014.parquet,55372,1318254014,have
train_landmark_files/4718/1318384860.parquet,4718,1318384860,say
train_landmark_files/37779/1319305651.parquet,37779,1319305651,not
train_landmark_files/37055/1319401992.parquet,37055,1319401992,up
train_landmark_files/16069/1320135269.parquet,16069,1320135269,that
train_landmark_files/53618/132067332.parquet,53618,132067332,for
train_landmark_files/29302/1320973990.parquet,29302,1320973990,all
train_landmark_files/53618/1321059114.parquet,53618,1321059114,on
train_landmark_files/4718/1326009488.parquet,4718,1326009488,who
train_landmark_files/29302/1326386077.parquet,29302,1326386077,will
train_landmark_files/25571/1327690531.parquet,25571,1327690531,there
train_landmark_files/2044/1328679973.parquet,2044,1328679973,who
train_landmark_files/36257/1329080316.parquet,36257,1329080316,up
train_landmark_files/62590/133022721.parquet,62590,133022721,will
train_landmark_files/55372/1331796989.parquet,55372,1331796989,there
train_landmark_files/28656/1333490132.parquet,28656,1333490132,up
train_landmark_files/36257/1333912110.parquet,36257,1333912110,there
train_landmark_files/37779/1334073430.parquet,37779,1334073430,all
train_landmark_files/4718/1335215629.parquet,4718,1335215629,if
train_landmark_files/16069/133579352.parquet,16069,133579352,that
train_landmark_files/22343/1336059728.parquet,22343,1336059728,go
train_landmark_files/16069/1337455914.parquet,16069,1337455914,who
train_landmark_files/62590/1337905272.parquet,62590,1337905272,that
train_landmark_files/16069/1337929158.parquet,16069,1337929158,have
train_landmark_files/32319/1338055986.parquet,32319,1338055986,go
train_landmark_files/26734/1338726331.parquet,26734,1338726331,all
train_landmark_files/62590/1339223507.parquet,62590,1339223507,if
train_landmark_files/37779/1339449978.parquet,37779,1339449978,have
train_landmark_files/55372/1339505374.parquet,55372,1339505374,have
train_landmark_files/22343/1339720733.parquet,22343,1339720733,if
train_landmark_files/53618/1339732866.parquet,53618,1339732866,up
train_landmark_files/26734/1339982942.parquet,26734,1339982942,on
train_landmark_files/37055/1340664319.parquet,37055,1340664319,not
train_landmark_files/49445/134177303.parquet,49445,134177303,say
train_landmark_files/36257/1344120383.parquet,36257,1344120383,on
train_landmark_files/61333/1344168304.parquet,61333,1344168304,not
train_landmark_files/29302/1345138890.parquet,29302,1345138890,up
train_landmark_files/32319/1346005790.parquet,32319,1346005790,will
train_landmark_files/4718/134689223.parquet,4718,134689223,say
train_landmark_files/18796/1348267902.parquet,18796,1348267902,that
train_landmark_files/36257/1349224540.parquet,36257,1349224540,there
train_landmark_files/26734/1349656680.parquet,26734,1349656680,there
train_landmark_files/29302/1351903538.parquet,29302,1351903538,go
train_landmark_files/34503/1352080866.parquet,34503,1352080866,who
train_landmark_files/27610/1353075441.parquet,27610,1353075441,all
train_landmark_files/18796/1353383848.parquet,18796,1353383848,all
train_landmark_files/26734/1354075397.parquet,26734,1354075397,say
train_landmark_files/36257/1357059459.parquet,36257,1357059459,that
train_landmark_files/25571/1357426299.parquet,25571,1357426299,there
train_landmark_files/37055/135817684.parquet,37055,135817684,there
train_landmark_files/55372/1358444664.parquet,55372,1358444664,for
train_landmark_files/16069/135864597.parquet,16069,135864597,for
train_landmark_files/28656/1359423023.parquet,28656,1359423023,all
train_landmark_files/18796/136149500.parquet,18796,136149500,have
train_landmark_files/62590/1362275245.parquet,62590,1362275245,that
train_landmark_files/62590/1363391788.parquet,62590,1363391788,go
train_landmark_files/2044/1363578182.parquet,2044,1363578182,not
train_landmark_files/22343/136368000.parquet,22343,136368000,say
train_landmark_files/27610/136371579.parquet,27610,136371579,if
train_landmark_files/36257/1363780462.parquet,36257,1363780462,that
train_landmark_files/28656/136421579.parquet,28656,136421579,all
train_landmark_files/29302/1364736241.parquet,29302,1364736241,there
train_landmark_files/2044/1365053849.parquet,2044,1365053849,have
train_landmark_files/37055/1365686631.parquet,37055,1365686631,say
train_landmark_files/2044/1365974095.parquet,2044,1365974095,all
train_landmark_files/55372/136616978.parquet,55372,136616978,there
train_landmark_files/25571/1366888507.parquet,25571,1366888507,up
train_landmark_files/29302/1366985495.parquet,29302,1366985495,that
train_landmark_files/62590/1367412892.parquet,62590,1367412892,will
train_landmark_files/32319/1367638705.parquet,32319,1367638705,if
train_landmark_files/53618/1367819324.parquet,53618,1367819324,will
train_landmark_files/29302/1367963577.parquet,29302,1367963577,that
train_landmark_files/18796/1368503879.parquet,18796,1368503879,say
